City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,soio,-6.1349,12.3689,82.53,78,77,7.63,AO,1684145905
265,tura,25.5198,90.2201,91.08,34,12,9.01,IN,1684145972
266,male,4.1748,73.5089,87.75,79,75,21.85,MV,1684145809
267,salalah,17.0151,54.0924,93.29,59,20,16.11,OM,1684146019
268,grand falls-windsor,48.9332,-55.6649,39.51,81,100,1.01,CA,1684146019
269,pilani,28.3684,75.6041,107.92,8,1,18.61,IN,1684145976
270,emerald,-23.5333,148.1667,63.34,84,18,8.61,AU,1684145755
271,paracuru,-3.41,-39.0306,79.11,88,29,7.94,BR,1684146019
272,praia da vitoria,38.7333,-27.0667,70.05,68,20,8.34,PT,1684146020
273,clarion,41.2148,-79.3853,43.77,71,100,4.9,US,1684146020
274,abilene,32.4487,-99.7331,64.94,94,0,4.61,US,1684146020
275,crane,31.3974,-102.3501,67.87,65,31,7.67,US,1684146020
276,pestravka,52.405,49.9583,65.98,47,3,6.91,RU,1684146021
277,okhotsk,59.3833,143.3,38.32,68,95,12.84,RU,1684146021
278,markovo,57.3206,107.0881,49.82,29,100,6.04,RU,1684146021
279,big rapids,43.6981,-85.4837,32.07,93,0,0.0,US,1684146021
280,broken hill,-31.95,141.4333,60.17,48,46,6.67,AU,1684145985
281,rancho palos verdes,33.7445,-118.387,62.94,93,88,1.99,US,1684146022
282,grahamstown,-33.3042,26.5328,59.95,57,1,1.5,ZA,1684145829
283,nuku'alofa,-21.1333,-175.2,68.34,88,100,5.75,TO,1684145932
284,holualoa,19.6228,-155.9522,71.44,89,75,6.91,US,1684146023
285,zhezqazghan,47.7833,67.7667,64.98,27,0,15.66,KZ,1684146023
286,ust'-ilimsk,58.0006,102.6619,47.37,47,100,12.97,RU,1684146023
287,nguigmi,14.2495,13.1092,98.94,19,63,12.3,NE,1684146023
288,wakkanai,45.4094,141.6739,51.15,92,100,12.93,JP,1684146006
289,kumylzhenskaya,49.8809,42.5898,70.99,45,43,10.02,RU,1684146024
290,piti village,13.4626,144.6933,83.3,87,0,4.61,GU,1684146024
291,al bawiti,28.3492,28.8659,87.53,13,0,8.1,EG,1684145747
292,ujae,8.9322,165.7642,82.35,80,100,16.26,MH,1684146024
293,zemio,5.0314,25.1361,100.2,27,44,5.06,CF,1684146025
294,moapa valley,36.5805,-114.4703,75.54,24,33,5.1,US,1684146025
295,alcudia,39.8532,3.1214,74.37,61,12,11.52,ES,1684146025
296,tual,-5.6667,132.75,81.73,79,100,6.44,ID,1684145864
297,luanda,-8.8368,13.2343,86.0,66,75,4.61,AO,1684146006
298,coquimbo,-29.9533,-71.3436,62.33,77,100,5.75,CL,1684146026
299,namibe,-15.1961,12.1522,76.03,60,5,3.76,AO,1684146026
300,rumonge,-3.9736,29.4386,80.24,68,63,3.85,BI,1684146026
301,atar,20.5169,-13.0499,94.93,12,99,11.52,MR,1684146027
302,gourin,48.1387,-3.6076,57.7,81,100,14.81,FR,1684146027
303,conception bay south,47.4999,-52.9981,41.74,88,100,16.67,CA,1684146027
304,qaqortoq,60.7167,-46.0333,34.36,85,100,9.69,GL,1684146028
305,fort bragg,35.139,-79.006,62.82,83,100,0.0,US,1684146028
306,hillsboro,45.5229,-122.9898,69.49,66,0,1.01,US,1684146028
307,ponta delgada,37.7333,-25.6667,66.92,77,20,4.61,PT,1684146029
308,sao jose da coroa grande,-8.8978,-35.1478,80.35,81,99,8.59,BR,1684146029
309,menongue,-14.6585,17.691,84.22,25,88,3.91,AO,1684146029
310,padang,-0.9492,100.3543,86.05,75,41,3.27,ID,1684145808
311,kokpekty,48.75,82.4,56.84,39,29,16.31,KZ,1684146030
312,nong chik,6.8436,101.178,84.6,76,98,4.21,TH,1684146030
313,bartoszyce,54.2535,20.8082,62.42,71,100,16.49,PL,1684146031
314,ario de rosales,19.2,-101.7167,59.58,44,2,3.85,MX,1684146031
315,luwingu,-10.2621,29.9271,78.98,45,77,4.68,ZM,1684146031
316,lompoc,34.6391,-120.4579,58.78,89,100,1.01,US,1684145806
317,gabrovo,42.8747,25.3342,68.29,66,93,4.14,BG,1684145749
